"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2018-01-11","28181956.327885438","28661817.331583448","5597165.71714905","16.7156659208626","910.1303376418293","0.80645","13.5875578703704",""
"2018-01-10","-43993923.586645074","9474561.199014558","6062829.1958242","18.3402136151408","1040.428430776223","0.84466314","13.6306134259259",""
"2018-01-09","37246993.46416953","191263692.6027968","6358749.62832106","15.9845729493977","1119.8542925539477","0.86917752","14.5398148148148",""
"2018-01-08","-3226926.3753205254","34519014.70747715","5868112.80985659","16.0542297050138","808.7688877180487","0.7127606925","14.067974537037",""
"2018-01-07","-18172368.412616543","-20937165.09516082","4740731.85921353","13.831282616778","782.5112046922587","0.709510045","13.3416898148148",""
"2018-01-06","-8993817.39451131","-77138337.37448701","4799328.36381436","15.3725482735641","755.457402251195","0.75083416","14.1946412037037",""
"2018-01-05","-10660720.488755113","8676701.602438547","6556926.35027661","17.4554807364986","958.55284628872","1","14.7173263888889",""
"2018-01-04","-28126001.379434153","145377206.04380187","8055185.7608032","17.6899571636997","1223.9653450939995","1.28519925","15.6237268518519",""
"2018-01-03","-53159192.308011755","-38264840.22079043","4949424.14715733","14.0595798331049","942.761494894253","0.999060421651827","14.3290509259259",""
"2018-01-02","61978691.24570492","-14133146.227132576","4876416.05104305","15.9919111868873","560.6912839618338","0.64900961","13.3557407407407",""
"2018-01-01","-12555238.089185195","42006475.81527418","2901021.89634185","12.0732781549426","268.3407808881777","0.354914431519758","10.5201967592593",""
"2017-12-31","-18817684.97548821","-20053229.974568084","3095528.91192491","12.5745916707537","371.127732466394","0.5","10.9604282407407",""
"2017-12-30","12738959.853059798","118120191.13814525","4854961.93349669","17.4410742103642","713.782832554062","1","13.155775462963",""
"2017-12-29","8639334.59706758","2563413.6549473577","4664423.68556032","17.026817748215","707.3282828175702","0.94676477","12.6179513888889",""
"2017-12-28","11737095.916420667","10074874.41694909","3996410.43070444","18.2202938584969","387.2171869843307","0.54054","10.9896180555556",""
"2017-12-27","-5810795.793543476","-31335535.985145174","3294896.50142122","15.4556906017381","431.3614800907627","0.582352941176471","10.5642592592593",""
"2017-12-26","-20915708.028863683","-32950466.43242611","3068041.83255878","14.9024140189936","273.650239998519","0.3648654955","9.415625",""
