"Date","Price (Close)","Price (Open)","Circulating Marketcap","Outstanding Marketcap","1 Day Active Supply","Supply in top 100 addresses","Supply in addresses with balance greater than $10M","Supply in addresses with balance greater than $1M","Supply in addresses with balance greater than $100K","Supply in addresses with balance greater than $10K"
"2017-09-08","4328.0075444738395","4632.531099601483","76814540674.6755","71931114925.08025","593306.80011509","2806611.64471217","4839996.51558487","8904751.11446879","13941447.32527498","15646897.56167914"
"2017-09-07","4627.734907070284","4604.477479090573","76194162280.2843","76715672194.46526","652444.93358118","2801620.68234728","4912820.40303298","8967629.67666267","13990572.57807624","15665701.90334794"
"2017-09-06","4609.8294967873035","4407.556178788475","73067845681.53847","76248805470.28903","611708.26318015","2815452.49635829","4911653.1192237","8961585.88888997","13985949.39225673","15662999.52128195"
"2017-09-05","4407.91340108782","4287.962448520635","71191462347.94327","73700143235.54442","657975.37901622","2811305.11497953","4881661.86231794","8931764.83395967","13964991.3674929","15652714.18813035"
"2017-09-04","4308.141802384815","4617.699074623725","76470156326.0474","72377228115.3783","542417.19263389","2814244.56320441","4851054.46589652","8920945.89465522","13957545.5035587","15650601.68979331"
"2017-09-03","4622.309814144619","4589.828451459238","75938285252.27101","76512165470.08018","422678.74491015","2816001.35608876","4887099.32243548","8981711.74347187","14002532.46821965","15673058.20781719"
"2017-09-02","4592.427320424699","4923.317902718698","81422445694.17526","76002486194.54489","500146.82973614","2812169.24238215","4876546.40459834","8969864.47833131","13985946.48476254","15668345.91747623"
"2017-09-01","4920.334629851388","4734.454582796889","78243324182.8048","81337302684.4743","597159.32082877","2803855.44911922","4985621.95150489","9028249.93749754","14036541.17974532","15688931.94953274"
"2017-08-31","4734.5284918927755","4576.608708109596","75691617433.29877","78386345981.646","574241.03162422","2803877.07725643","4926131.05361986","8986388.88247744","14004136.36999707","15674285.84985921"
"2017-08-30","4576.264010853207","4588.709259185354","75906120264.0445","75835035216.64296","564704.05397288","2813335.88894513","4904971.84909997","8955271.54525383","13981396.82478801","15661995.6667936"
"2017-08-29","4591.273628410616","4382.6641992758","72483203669.36392","76053940775.73611","548387.01574069","2809645.39488926","4903998.17567083","8959276.33857225","13985317.16842407","15659079.56435914"
"2017-08-28","4382.24635813256","4336.543945152169","71675531008.22865","72397327204.41","467180.91775117","2816565.59326141","4853613.1024145","8908650.89669978","13953757.58366858","15642794.68806467"
"2017-08-27","4334.482417810871","4343.3052512704335","71823276321.65277","71814078736.96461","410191.65590707","2822547.05748782","4828228.52936918","8909306.22922611","13949026.91706","15640457.85788655"
"2017-08-26","4336.611706974172","4355.059801879293","71969687794.59277","71757325229.35551","464146.56549488","2821214.0515582","4822349.39176131","8896386.63675341","13936596.97414857","15631809.12302171"
"2017-08-25","4357.060549229963","4318.311870313484","71395864103.51315","71935931728.76527","503972.95145144","2826787.15867231","4819667.5721057","8895625.51111145","13932386.8561729","15629526.02769833"
"2017-08-24","4314.63289054749","4138.574468126665","68339356970.586105","71479081623.50027","563988.66080001","2830869.94598776","4811754.86638189","8893535.66678422","13933397.12443045","15632620.57041393"
"2017-08-23","4134.466087892558","4089.7978584394805","67590983892.01039","68517713977.949295","586004.76994317","2831243.01519474","4760905.2337312","8841633.66222244","13889723.88352643","15612190.86687777"
"2017-08-22","4089.4015296409757","3996.378495261778","66052631434.59006","67310327158.72248","588262.95810351","2826318.76728203","4740551.57583225","8822134.14237544","13875864.70299429","15604192.91145204"
"2017-08-21","3996.3267453175367","4055.6908793944344","67050809266.17845","65956080358.16499","567847.32785105","2819553.39106083","4692833.82974352","8750102.27773247","13798837.87868969","15591439.98456518"
"2017-08-20","4058.614596409248","4135.539238397973","68352821738.560715","67489563565.01475","545903.1472406","2827590.62243518","4769077.16899776","8833953.59001235","13889633.13154068","15609730.93400295"
