"Date","Adjusted RVT","Volatility","Total Issuance","1 Day Active Supply","Miner Supply","Hash Rate","Miner Revenue per Hash","Miner Revenue per Hash per Second","Miner Revenue per Hash per Second (Native Units)","Addresses Count"
"2019-09-25","34.37966875","0.5531790493024359","16427107.41049094","545195.50924126","15031080926.04848","92209210.30751845","0.00000211","0.181942808711","0.000021597745","27051512"
"2020-03-23","58.81697989","1.7113375994836577","9080972.120268846","328147.93445912","11563566813.27221","92159235.12041043","0.00000118","0.102084138952","0.00001573816","29908269"
"2020-05-19","49.02292975","0.7655257694602853","7010832.300820061","408861.29628279","17681766616.79132","92066047.08047871","0.0000011","0.095435764032","0.000009784067","30232975"
"2019-12-23","53.10079579","0.5700631223712351","13087625.843874188","239141.41994426","13052474981.363375","92045964.0499964","0.00000166","0.143718918971","0.000019629043","28248058"
"2019-10-13","116.37399035","0.5522422920437277","14716969.90629164","147839.59698042","14787566267.035833","91822275.66676003","0.00000187","0.161764385974","0.000019510252","27487864"
"2019-10-19","108.6995133","0.5626348705616747","14108547.2735827","215257.78320611","14170943365.665236","91822275.66676003","0.0000018","0.155271655535","0.000019534767","27623443"
"2021-07-23","71.061339995263","0.6600517501374323","28214658.87429133","314266.57293964","60014373792.77683","91755226.9581463","0.000003640994","0.314581886502","0.000009407467","38064531"
"2019-09-14","71.38400377","0.487358271508679","20079189.98661593","220387.62082748","18488934911.69546","91618125.62606","0.00000256","0.221578986722","0.000021380807","26978493"
"2019-11-07","42.49831794","0.744738585832668","15543137.625273962","327201.87619633","16440817843.412813","91495629.00498703","0.00000201","0.173964607272","0.000018887131","27827108"
"2021-07-15","43.278309399768","0.7581851622719555","25366152.02945648","330701.79011826","56890915244.65921","91390704.61790934","0.000003302737","0.285356477125","0.000008999598","38036052"
"2020-04-03","63.66937296","1.7511484823449184","11140639.210441258","328854.27024409","12028032399.08987","91290582.4646388","0.00000143","0.123946500294","0.00001835727","29863970"
"2020-05-14","45.84294396","0.7863222131346346","6983404.51000511","407661.84999006","17765417562.277363","91265472.75803976","0.00000107","0.092244277431","0.000009411462","30303982"
"2019-10-28","34.12366599","0.7649696609743167","15609623.38729983","423146.84252331","16618378445.194073","91201360.02319407","0.00000203","0.175102612151","0.000018789491","27757063"
"2019-10-30","54.69923795","0.7709952726738832","15381282.234154005","311513.36902458","16384170774.525393","91201360.02319407","0.00000199","0.171979834093","0.000018728362","27797348"
"2019-11-02","62.57451234","0.7658226043298225","15577819.652849216","321332.52814228","16596242783.1628","91201360.02319407","0.00000201","0.173588245446","0.00001866502","27831665"
"2019-11-09","59.7090536","0.7460361331427101","15859412.211513745","286709.34809341","15731383156.293821","91053344.3806499","0.00000205","0.176879661357","0.000020075359","27854086"
"2019-10-01","50.71423626","0.5565890844554424","14862260.60984438","311053.21561585","14835370599.035145","90704051.0116512","0.00000195","0.168145478351","0.000020223037","27157535"
"2019-10-24","43.94986327","0.6051233288018543","12392892.017199013","330754.14975089","13294496113.322615","90520752.85884188","0.00000161","0.139368951604","0.000018696272","27720492"
"2019-10-29","44.58080813","0.7664366039168219","15679381.843490649","467069.13747891","16818322995.839592","90520752.85884188","0.00000205","0.176833075283","0.000018749782","27771416"
"2019-12-17","53.65338735","0.47502231588955907","11648295.489461567","337542.4506412","11778303308.417185","90255692.20813552","0.00000151","0.130716015694","0.0000197786","28093981"
"2021-06-22","32.223555533831","1.01489580071989","18424403.494641293","357142.5686014","58045166069.52843","90168661.26154941","0.00000256411","0.221539142286","0.000006838777","38027529"
