"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2018-09-21","247.6953643521733","224.44881361627927","1039893325.3085076","1.1982845650912683","254561","821908768.9424952","666477414.4765934","544686","6.30423611111111",""
"2018-06-09","592.7707633534275","599.5485092538793","252716440.23407924","0.8680527996405446","388714","764995416.1821315","665650361.6247425","769427","8.90540509259259",""
"2019-07-15","228.30887607474426","226.08024684662914","1229725682.3953543","1.0349169844323258","360602","823909946.6310446","664831068.4897709","743294","8.60293981",""
"2018-10-15","207.57104840955427","193.33679186590044","1209967523.410317","1.0055766823079706","298338","779521007.0252079","664765292.2032138","562011","6.50475694444444",""
"2017-09-24","282.33444640818925","285.9841864138165","201381618.85945526","1.377939804312157","132444","1933128168.1589742","664674840.5487281","280929","3.25149305555556",""
"2019-07-01","294.0839263872081","290.2698707901344","1091826497.1712341","0.8929351256506864","309889","796396653.8090194","664601496.9655489","951985","11.01834491",""
"2020-03-24","138.91543146842602","136.73429704534215","716841144.8819606","2.0760234202563805","387996","766581400.7692356","663543982.9732696","791900","9.16550926",""
"2018-11-20","129.34879140441802","147.58104622438324","1322599540.1143513","0.8744843964245888","325428","839584179.1601926","663010056.3911246","625752","7.2425",""
"2017-10-16","333.85272088187173","336.7045497763671","328177104.5158427","0.9005730397217467","166773","2581593991.3243895","658901952.0840694","408297","4.72565972222222",""
"2019-04-26","154.62205621171776","152.21337505427257","628930626.1960024","0.8292700837028611","307928","759374158.2428181","658860975.3393425","661061","7.65116898148148",""
"2019-06-13","255.2592771189212","262.79957240756266","736436469.0147514","1.0233280842761256","360497","780011846.4047891","656128655.4288781","749758","8.67775463",""
"2020-06-26","229.48341063785296","232.22890629755403","486042066.5880391","0.681170995892301","503748","776141232.0591283","655815858.2009192","1017505","11.77667824",""
"2017-09-29","292.2588745048294","302.6822092831861","267763463.47581986","1.3834635978300545","166723","2457166955.5809436","655274755.8942162","326502","3.77895833333333",""
"2018-04-11","429.79820520258943","415.14722629769113","443768296.4427694","0.9379843200736471","371762","756326887.6885875","652526716.9438876","609102","7.04979166666667",""
"2020-07-09","241.9916423120781","247.10319212847665","562410462.4515563","0.5259399686679002","511545","852629032.0486413","651616777.3368953","1070343","12.38822917",""
"2019-05-22","243.91350063145484","254.45895377787994","1102938365.267547","1.0063068018317163","331007","769663510.3449516","651559529.6759174","873384","10.1086111111111",""
"2018-06-03","619.2229951477633","590.7065003837798","435220452.4518906","0.8839085294648253","415409","759955306.9438416","651521187.9087123","809997","9.37496527777778",""
"2018-04-03","415.3998847598672","384.7599838781863","501733073.1224433","0.9288885587668272","327729","765167781.5309126","648955800.3241316","645977","7.47658564814815",""
"2017-05-19","124.47622014342679","96.19425156761173","304033574.9924262","1.5221178363168266","84077","2042354387.4073951","648329721.243722","161568","1.87",""
"2017-05-05","90.66451912844768","95.97035532020686","179364690.03431046","1.1985436894038284","51379","2302651051.1592827","647677667.2045895","108514","1.25594907407407",""
"2020-07-10","241.2517309012678","241.96794863410207","386571715.1577913","0.5198600942091857","506070","874055154.8249066","647524858.3967643","1034806","11.9769213",""
"2018-04-04","378.1726213280476","415.33934692523826","508570213.8158454","0.9479054288616942","330922","743094983.9129174","646964903.0979172","628441","7.27362268518519",""
"2020-07-13","239.53802829677838","242.9626008157731","541568843.0646313","0.44763913597407035","529772","826035449.7317024","644481664.0220822","1151834","13.33141204",""
"2017-09-22","262.8701743651796","257.6696257680548","169492171.88197047","1.346597371864413","131621","2279831264.319317","643489877.0171567","271470","3.14201388888889",""
"2018-09-06","229.44095636820768","228.17530959182807","673201780.347037","1.0702268058245032","303884","782369429.179077","641225140.9888842","588959","6.81665509259259",""
